open,high,low,close,vol,divs,stock_splits
4406.75,4565.5,4402.0,4552.75,348494,0.0,0.0
4562.25,4637.5,4562.0,4611.5,361589,0.0,0.0
4614.0,4630.0,4592.75,4616.25,184127,0.0,0.0
4619.75,4651.75,4601.25,4632.25,217939,0.0,0.0
4635.25,4678.25,4600.5,4673.75,306875,0.0,0.0
4664.25,4670.25,4642.75,4661.75,184529,0.0,0.0
4666.0,4690.25,4636.0,4643.25,211241,0.0,0.0
4644.5,4699.5,4625.0,4694.0,162655,0.0,0.0
4688.25,4727.5,4677.0,4712.0,186758,0.0,0.0
4711.75,4729.75,4691.25,4709.5,231004,0.0,0.0
4708.25,4727.5,4673.75,4695.25,246167,0.0,0.0
4700.75,4708.75,4658.75,4703.0,276682,0.0,0.0
4701.25,4712.75,4622.0,4652.75,256938,0.0,0.0
4650.0,4662.25,4612.5,4643.0,241859,0.0,0.0
4640.25,4674.75,4625.25,4631.75,221698,0.0,0.0
4631.25,4653.25,4581.25,4585.25,268158,0.0,0.0
4583.75,4590.5,4485.75,4502.0,344229,0.0,0.0
4478.25,4565.5,4455.0,4559.75,282188,0.0,0.0
4560.75,4597.75,4552.0,4569.5,269684,0.0,0.0
4570.25,4656.75,4556.25,4652.5,242823,0.0,0.0
4649.75,4677.0,4646.75,4660.0,217266,0.0,0.0
4656.75,4691.5,4652.25,4689.5,177125,0.0,0.0
4689.5,4706.75,4653.75,4675.75,163322,0.0,0.0
